Building Name/No_/Location,Council Ward,Latitude,Longitude,Post Code
34,,55.87156,-4.27355,G4 9AR
6,,55.879334,-4.279836,G20 6BN
28,,55.82717,-4.27917,G41 3ES
137,,55.82425,-4.26897,G42 9SN
8,,55.82435,-4.27136,G42 9SD
137,,55.82767,-4.28003,G41 3LU
48,,55.8273,-4.28652,G41 3PE
121,,55.86236,-4.21775,G31 2NU
149,,55.86172,-4.21734,G31 2QA
49,,55.83708,-4.27201,G41 2AJ
179,,55.83508,-4.27055,G42 8QE
17,,55.87893,-4.27669,G20 6RB
1,,55.87669,-4.31301,G12 9SB
7,,55.87344,-4.296726,G11 5JB
36,,55.82384,-4.28366,G41 3HW
26,,55.8588,-4.22061,G31 2LF
69,,55.87283,-4.30435,G11 5EG
5,,55.84998,-4.22828,G40 2QP
90,,55.842,-4.27056,G41 2SS
19,,56.494066,-2.934575,DD4 9QD
Opp 18,,56.489489,-2.931741,DD4 9NA
1 to 12,,56.490417,-2.91419,DD4 0LR
3,,56.494244,-3.012348,DD3 9NT
Opp 43,,56.494899,-3.009981,DD3 9PU
30,,56.494255,-3.017874,DD3 9NG
490,,56.490058,-2.995171,DD3 9BP
30,,56.494982,-3.014294,DD3 9NX
143,,56.487519,-3.014554,DD2 3TP
39,,56.471231,-3.014083,DD2 3EN
466,,56.468297,-3.042671,DD2 4BP
42,,56.478008,-3.011998,DD2 3HU
139,,56.473028,-3.010278,DD2 3DB
30,,56.474965,-3.029736,DD2 4PH
1,,56.472976,-3.038695,DD2 4NT
90,,56.46801,-3.048794,DD2 4AQ
96,,56.478223,-2.900876,DD4 8SY
3,,56.47969,-2.904525,DD4 8SQ
24,,56.480897,-2.911119,DD4 8RN
170,,56.481752,-2.923641,DD4 8LP
Jct Dens Road,,56.471883,-2.967954,DD3 7HZ
42,,56.47644,-2.97563,DD3 8AJ
116,,56.467107,-2.963852,DD1 2QN
Jct Constitution Street,,56.46784,-2.975189,DD3 6LZ
13,,56.470017,-2.968667,DD3 7DF
,,56.464513,-2.977467,DD3 6HE
Jct Strathmartine Road,,56.476241,-2.981401,DD3 8BX
18,,56.474442,-2.984355,DD3 6SE
Slip Road,,56.463572,-2.989344,DD1 5RA
58,,56.453157,-2.986292,DD1 4NB
Opp 22,,56.462589,-2.990521,DD1 5QT
Jct Shepherds Loan,,56.455232,-2.994963,DD2 1AX
15,,56.460827,-2.99424,DD1 5PW
Car Park,,56.456414,-2.986152,DD1 4HN
Opp 21,,56.471707,-2.962446,DD4 6TJ
Jct Cardeab Street,,56.47182,-2.955314,DD4 6QE
86,,56.466548,-2.952164,DD4 6JS
Opp 23,,55.939583,-3.221341,EH11 1DL
Opp 23,,55.939583,-3.221341,EH11 1DL
Jct Leven Terrace,,55.94094,-3.201255,EH3 9LN
Jct Leven Terrace,,55.94094,-3.201255,EH3 9LN
16,,55.943012,-3.198898,EH3 9HJ
22,,55.942859,-3.198804,EH3 9HJ
14,,55.962434,-3.182824,EH7 4LZ
14,,55.962434,-3.182824,EH7 4LZ
4,,55.939623,-3.17734,EH8 9PJ
22,,55.940131,-3.177728,EH8 9PJ
17,,55.94301,-3.200259,EH3 9HP
5,,55.945068,-3.235811,EH12 5NS
5,,55.945068,-3.235811,EH12 5NS
Jct Saxe Coburg Street,,55.960161,-3.207519,EH3 5BY
Jct Saxe Coburg Street,,55.960161,-3.207519,EH3 5BY
Opp 18,,55.938605,-3.201546,EH9 1DY
Jct Brougham Street,,55.943036,-3.20136,EH3 9HP
Opp 18,,55.938605,-3.201546,EH9 1DY
Car park,,55.975519,-3.168419,EH6 6SJ
Car park,,55.975519,-3.168419,EH6 6SJ
47,,55.976694,-3.18099,EH6 4AR
26,,55.976767,-3.180996,EH6 4AS
Jct Coalhill,,55.974939,-3.173311,EH6 6EQ
Jct Coalhill,,55.974939,-3.173311,EH6 6EQ
Opp 5,,55.93688,-3.234923,EH11 2PJ
Opp 5,,55.93688,-3.234923,EH11 2PJ
Jct Easter Road,,55.959429,-3.171371,EH7 5PJ
Jct Sloan Street,,55.966055,-3.172708,EH6 8DW
Opp 2,,55.965977,-3.173792,EH6 8QS
Jct Lady Menzies Place,,55.958689,-3.169121,EH7 5RX
Jct Lady Menzies Place,,55.958689,-3.169121,EH7 5RX
13,,55.936892,-3.232088,EH11 1TN
13,,55.936892,-3.232088,EH11 1TN
18,,55.975328,-3.181486,EH6 4AL
18,,55.975328,-3.181486,EH6 4AL
13,,55.954707,-3.159063,EH8 8JB
9,,55.954685,-3.158566,EH8 8JD
76,,55.930899,-3.204884,EH10 4SA
7,,55.972997,-3.164407,EH6 7EZ
7,,55.972997,-3.164407,EH6 7EZ
Jct Sloan Street,,55.962532,-3.174347,EH7 5LQ
Jct Buchanan Street,,55.962616,-3.177071,EH7 5LH
17,,55.973214,-3.173668,EH6 6BX
17,,55.973214,-3.173668,EH6 6BX
35,,55.97931,-3.222974,EH5 1BN
35,,55.97997,-3.230468,EH5 1HW
Jct Dock Street,,55.976265,-3.174162,EH6 6EY
117,,55.962521,-3.145426,EH7 6LY
13,,55.961578,-3.143449,EH7 6LZ
10,,55.938476,-3.235295,EH11 2PE
Opp 14,,55.922334,-3.210609,EH10 6AH
,,55.962201,-3.156187,EH7 6EE
Jct Dock Street,,55.976265,-3.174162,EH6 6EY
139,,56.473028,-3.010278,DD2 3DB
49,,56.476824,-2.918591,DD4 7TR
Jct Constitution Street,,56.46784,-2.975189,DD3 6LZ
Opp 282,,55.964599,-3.170505,EH6 8JU
Opp 282,,55.964599,-3.170505,EH6 8JU
Jct Sloan Street,,55.962611,-3.174248,EH7 5LQ
3,,55.89723,-4.29966,G20 0EG
77,,55.84887,-4.198224,G31 4TS
9,,55.848699,-4.200571,G31 4TS
311,,55.88765,-4.27317,G20 9LS
